Year,HhFuelCI,CarSvcFuelCI,ComSvcFuelCI,HvyTrkFuelCI,TransitVanFuelCI,TransitBusFuelCI,TransitRailFuelCI
2019,90.38,90.38,90.38,NA,NA,NA,NA
2045,72.3,72.3,72.3,NA,NA,NA,NA
